,filename,drop_rate,throughput,RTT,varients,cbr_rate,simulation
151,ex1_newreno_cbr5mb_simulation7.tr,0.006892418339826192,4.333333333333333,0.07526357810413888,newreno,5mb,simulation7
152,ex1_vegas_cbr7mb_simulation7.tr,0.0,2.8333333333333335,0.06646587520259135,vegas,7mb,simulation7
153,ex1_reno_cbr7mb_simulation7.tr,0.012749003984063744,2.4166666666666665,0.07603897077625747,reno,7mb,simulation7
154,ex1_tahoe_cbr7mb_simulation7.tr,0.01293103448275862,2.5,0.07732554614045407,tahoe,7mb,simulation7
155,ex1_newreno_cbr7mb_simulation7.tr,0.011843938690199722,2.75,0.07801286650485473,newreno,7mb,simulation7
156,ex1_vegas_cbr8mb_simulation7.tr,0.0,1.9166666666666667,0.0684741973186692,vegas,8mb,simulation7
157,ex1_reno_cbr8mb_simulation7.tr,0.022919179734620026,1.5833333333333333,0.07746406308526388,reno,8mb,simulation7
158,ex1_tahoe_cbr8mb_simulation7.tr,0.0219959266802444,1.5833333333333333,0.07590688106565181,tahoe,8mb,simulation7
159,ex1_newreno_cbr8mb_simulation7.tr,0.020781965480803098,1.8333333333333333,0.07889338732394338,newreno,8mb,simulation7
160,ex1_vegas_cbr1mb_simulation8.tr,0.0,6.5,0.06307752305019129,vegas,1mb,simulation8
161,ex1_reno_cbr1mb_simulation8.tr,0.0043873729266987686,6.166666666666667,0.07213572170770333,reno,1mb,simulation8
162,ex1_tahoe_cbr1mb_simulation8.tr,0.0042689434364994675,6.833333333333333,0.07395611974076974,tahoe,1mb,simulation8
163,ex1_newreno_cbr1mb_simulation8.tr,0.0037249023348778047,7.25,0.073548294898943,newreno,1mb,simulation8
164,ex1_vegas_cbr3mb_simulation8.tr,0.0,6.0,0.06458325879230258,vegas,3mb,simulation8
165,ex1_reno_cbr3mb_simulation8.tr,0.004333814868318703,5.916666666666667,0.07610026460156227,reno,3mb,simulation8
166,ex1_tahoe_cbr3mb_simulation8.tr,0.004565141051152991,5.583333333333333,0.07493396817042783,tahoe,3mb,simulation8
167,ex1_newreno_cbr3mb_simulation8.tr,0.004439018976806126,5.916666666666667,0.07569683331357599,newreno,3mb,simulation8
168,ex1_vegas_cbr5mb_simulation8.tr,0.0,4.5,0.06518336318408424,vegas,5mb,simulation8
